DEBUG 2025-05-16 12:02:31,533 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:02:33,523 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-16 12:02:48,464 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:02:48,736 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:02:48,736 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:02:48,736 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:02:48,736 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:02:50,729 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-16 12:21:17,907 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:21:18,217 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:21:18,217 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:21:18,217 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:21:18,217 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 12:21:20,273 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 12:21:41,744 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 12:21:43,440 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:21:43,741 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:21:43,741 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:21:43,741 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:21:43,741 __init__ Creating converter from 5 to 7
